job_id,job_title,Alessandro Conte [af213210-a656-4be6-9e99-3528a172c356],Beat Hagmann [511e488c-75a5-49f5-b7d5-bb674945ea78],Beat Hagmann [53895df3-572d-47fa-a86d-d24c84f5656a],Beat Hagmann [ffc55f62-c6cc-4693-8baf-7b7defec024e],Beat Hodel [2a7bb008-1492-4d4e-8ef0-f35f640b4ef9],Chantal Mercier [5c6c8092-aa0d-489d-a14b-b3456c79822a],Christian Ineichen [9eb1362e-ab6e-49d6-89f3-ee0de4af1ca0],Daniel Sutter [bd56d7fd-0641-4a63-acc1-624bc10a0228],Dr. Andreas Baumann [06e0ec65-228c-4edd-86af-6f1550f6a90c],Full-Stack Development [1bd7099f-45fb-4664-8321-34355ac591d4],Full-Stack Development [6fa39f65-abbe-44fc-9ee4-76e03dee1f6e],Giulia Rossi [9afa228c-57a1-447a-86e7-f91d45887d92],Marc Baumgartner [caecc79f-7cc6-40c6-8ef8-2c95c2d12812],Nadine Keller [8d8ce133-74c6-41ca-8fa9-e68b4128249c],Thomas Weber [182ebdbe-0a72-472a-bbe6-a6643bfabda6],Werner Tanner [7ac0b983-34e2-4efa-a8d9-45752e7db5fe]
cdb43ab2-761e-41b4-a628-df9dfa4ffc73,Application Expert CAD PLM 100% (w/m/d),0.000,0.032,0.032,0.032,0.000,0.041,0.023,0.032,0.037,0.000,0.000,0.000,0.033,0.052,0.000,0.034
337457d4-0b1c-4f3d-9c39-a49c6f53d3ea,BA Treasury,0.044,0.029,0.029,0.029,0.043,0.021,0.024,0.029,0.000,0.000,0.000,0.025,0.029,0.000,0.000,0.030
7ddb0cfa-cb78-414f-bcbf-992dec67e422,BA-Acc und RegReporting,0.117,0.138,0.138,0.138,0.136,0.023,0.052,0.138,0.021,0.000,0.000,0.055,0.142,0.000,0.000,0.147
fbab3da1-132f-4332-b597-b11b45fdef61,Business Analyst/-in,0.027,0.000,0.000,0.000,0.026,0.026,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.000
1403b900-5ad4-4991-8000-70b7284395d2,Financial Reporting & Controlling Manager,0.052,0.000,0.000,0.000,0.025,0.025,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4f78da58-60c1-4025-8b03-bf5df8104bec,Financial Reporting & Controlling Manager,0.026,0.000,0.000,0.000,0.025,0.075,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5c21b3ca-16e3-4816-a86e-2014ced19a59,Financial Reporting & Controlling Manager,0.026,0.000,0.000,0.000,0.025,0.075,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
73e6cef4-3560-4514-acce-651ef8eea268,Fullstack Engineer,0.053,0.100,0.100,0.100,0.000,0.000,0.033,0.100,0.025,0.000,0.000,0.000,0.104,0.000,0.000,0.108
992c2dce-be24-4074-9b2e-d0003caa894d,Java Developer,0.069,0.118,0.118,0.118,0.089,0.044,0.000,0.118,0.020,0.000,0.000,0.127,0.121,0.029,0.000,0.125
a33558b3-cf35-4e72-975b-4d2c7f2537b0,Java Developer,0.069,0.118,0.118,0.118,0.089,0.044,0.000,0.118,0.020,0.000,0.000,0.127,0.121,0.029,0.000,0.125
a7fc3cff-ec43-4bc9-ae5d-6354b906c031,Junior / Senior Backend-Entwickler/in,0.000,0.067,0.067,0.067,0.023,0.023,0.026,0.067,0.000,0.000,0.000,0.027,0.069,0.060,0.000,0.052
b902fce8-2b30-492d-ae94-bc4f5d275960,Junior / Senior Backend-Entwickler/in,0.000,0.067,0.067,0.067,0.023,0.023,0.026,0.067,0.000,0.000,0.000,0.027,0.069,0.060,0.000,0.052
2201f725-b590-4c3a-9368-7658b878494e,Maschinenbauingenieur m/w/d,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.044,0.000,0.000,0.000,0.000,0.033,0.000,0.000
af229a97-b806-43bc-b8f6-2ad8d20208d2,Maschinenbauingenieur Master,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.055,0.000,0.000,0.000,0.000,0.046,0.000,0.000
8f7e04c2-e47d-48a3-9473-eec8e54f289c,PLM Solution Engineer,0.055,0.039,0.039,0.039,0.078,0.000,0.030,0.039,0.160,0.000,0.000,0.032,0.040,0.000,0.000,0.041
0a13de00-10fd-4358-99a9-27874afb1bd1,Product & Innovation Manager Motor & Sach Privat (m/w/d),0.024,0.018,0.018,0.018,0.023,0.046,0.000,0.018,0.000,0.000,0.000,0.027,0.018,0.030,0.000,0.019
eda7e1b6-debe-443a-926d-0eceec23394c,Product and Client Solutions Specialist,0.021,0.032,0.032,0.032,0.041,0.041,0.046,0.032,0.019,0.000,0.000,0.048,0.033,0.026,0.000,0.034
d9030da8-ca1b-4af4-8d0a-53d2ecf88a10,Product Manager,0.024,0.035,0.035,0.035,0.046,0.023,0.026,0.018,0.021,0.000,0.000,0.109,0.018,0.030,0.000,0.019
51e936d2-9208-4d5d-a096-9f034c0cf0fc,Product Template Specialist (80-100%),0.052,0.019,0.019,0.019,0.000,0.075,0.000,0.019,0.000,0.000,0.000,0.030,0.019,0.000,0.000,0.020
90815be9-8df3-449b-8e8b-e850fcb9d778,Project Leader Lifecycle Engineering,0.019,0.045,0.045,0.045,0.037,0.037,0.041,0.030,0.069,0.000,0.000,0.064,0.031,0.092,0.000,0.032
36d88429-0d2f-485a-be0c-2f166879cd2d,Sachbearbeiter im Sachschaden (m/w/d),0.000,0.019,0.019,0.019,0.026,0.052,0.000,0.019,0.023,0.000,0.000,0.032,0.020,0.035,0.000,0.021
8db0e302-1a1f-4a22-87dd-b057bcef76a7,Senior Analysis Engineer (all genders),0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000
c7b8e696-2465-42f7-83ec-eabbb71d1afa,Senior Analysis Engineer (all genders),0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000
d245d91a-0d84-438b-a4ee-0b5396ac7239,Senior Analysis Engineer (all genders),0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4247aafc-ba5f-431d-80b3-11902683aa44,Senior Cloud Data Platform Specialist (Databricks),0.067,0.175,0.175,0.175,0.064,0.000,0.078,0.175,0.000,0.000,0.000,0.000,0.181,0.030,0.000,0.187
819858ee-4d6d-442f-8df0-a552223b9c68,Senior Data Engineer,0.071,0.103,0.103,0.103,0.093,0.000,0.285,0.103,0.018,0.000,0.000,0.108,0.106,0.000,0.000,0.109
7a7f07cc-1ff5-4bce-8521-a8a09433895f,Senior Product Manager,0.000,0.037,0.037,0.037,0.000,0.025,0.000,0.037,0.000,0.000,0.000,0.000,0.039,0.067,0.000,0.040
